Code,TOTAL_SHARES,Industry
sz002295,251510000.0,有色金属
sz002296,376656420.0,计算机
sz002297,471315045.0,国防军工
sz002298,703960660.0,电气设备
sz002299,1110900000.0,农林牧渔
sz002300,542700000.0,电气设备
sz002301,427867388.0,轻工制造
sz002302,1032234050.0,建筑材料
sz002303,1542323685.0,轻工制造
sz002304,1506988000.0,食品饮料
sz002305,1734215770.0,房地产
sz002306,800000000.0,休闲服务
sz002307,557327160.0,建筑装饰
sz002308,846094055.0,计算机
sz002309,641289068.0,电气设备
sz002310,2681155280.0,建筑装饰
sz002311,1575965054.0,农林牧渔
sz002312,1404890733.0,计算机
sz002313,312000000.0,通信
sz002314,1877530273.0,建筑材料
sz002315,235000000.0,传媒
sz002316,393120000.0,通信
sz002317,814461076.0,医药生物
sz002318,841505932.0,钢铁
sz002319,200000000.0,化工
sz002320,508018960.0,交通运输
sz002321,534291100.0,农林牧渔
sz002322,401315016.0,电气设备
sz002323,745729656.0,建筑材料
sz002324,270000000.0,化工
sz002325,1245237994.0,建筑装饰
sz002326,822376427.0,化工
sz002327,871105889.0,纺织服装
sz002328,448100000.0,汽车
sz002329,837640035.0,食品饮料
sz002330,502000000.0,食品饮料
sz002331,350327055.0,计算机
sz002332,916212166.0,医药生物
sz002333,502603600.0,建筑材料
sz002334,755777338.0,电气设备
sz002335,271133600.0,电气设备
sz002336,400000000.0,商业贸易
sz002337,588615750.0,机械设备
sz002338,240000000.0,机械设备
sz002339,393696000.0,电气设备
sz002340,3815910339.0,有色金属
sz002341,503216492.0,公用事业
sz002342,960000000.0,机械设备
sz002343,314510000.0,传媒
sz002344,1282745046.0,商业贸易
sz002345,905412707.0,轻工制造
sz002346,441575416.0,建筑材料
sz002347,449350562.0,机械设备
sz002348,947200000.0,轻工制造
sz002349,840589662.0,医药生物
sz002350,387005000.0,电气设备
sz002351,588000000.0,电子
sz002352,4411015524.0,交通运输
sz002353,957853992.0,机械设备
sz002354,896570289.0,传媒
sz002355,513700050.0,汽车
sz002356,310474440.0,轻工制造
sz002357,313489036.0,交通运输
sz002358,929756977.0,电气设备
sz002359,1087191760.0,电气设备
sz002360,391512600.0,化工
sz002361,862595596.0,化工
sz002362,217099792.0,计算机
